,UID,Type,mean_depth,p90_depth,Class,Area,FloodDmg
4751,1000030080630.0,Residential,0.02,0.057,0,447,0.0
4752,1000030080644.0,Residential,0.141,0.409,1,64,24624.0
4753,1000030080587.0,Residential,0.005,0.007,0,214,0.0
4754,1000030080628.0,Residential,0.016,0.068,0,88,0.0
4755,1000030080651.0,Residential,0.111,0.297,0,66,0.0
4756,1000030080633.0,Residential,0.002,0.005,0,467,0.0
4757,5000005202750155.0,Residential,0.007,0.017,0,99,0.0
4758,1000030080631.0,Residential,0.03,0.057,0,446,0.0
4759,1000030080649.0,Residential,0.045,0.099,0,63,0.0
4760,1000030080677.0,Residential,0.042,0.104,0,78,0.0
4761,1000030080626.0,Residential,0.009,0.022,0,51,0.0
4762,1000030080635.0,Residential,0.087,0.254,0,61,0.0
4763,1000030080647.0,Residential,0.022,0.069,0,67,0.0
4764,1000030080625.0,Residential,0.008,0.018,0,88,0.0
4765,5000005202750215.0,Residential,0.02,0.045,0,119,0.0
4766,1000030080623.0,Residential,0.045,0.142,0,72,0.0
4767,1000030080648.0,Residential,0.044,0.123,0,40,0.0
4768,1000030080639.0,Residential,0.151,0.288,0,63,0.0
4769,5000005202749873.0,Residential,0.009,0.02,0,109,0.0
4770,1000030080640.0,Residential,0.104,0.257,0,71,0.0
4771,1000030080629.0,Residential,0.013,0.033,0,520,0.0
4772,1000030080621.0,Residential,0.005,0.01,0,79,0.0
4773,5000005202749787.0,Residential,0.006,0.013,0,11,0.0
4774,1000030080653.0,Residential,0.008,0.019,0,67,0.0
4775,1000030080588.0,Residential,0.01,0.017,0,121,0.0
4776,1000030080646.0,Residential,0.022,0.064,0,68,0.0
4777,1000030080596.0,Residential,0.021,0.066,0,149,0.0
4778,1000030080634.0,Residential,0.004,0.008,0,39,0.0
4779,1000030080624.0,Residential,0.019,0.04,0,70,0.0
4780,1000030080638.0,Residential,0.149,0.316,1,65,24624.0
4781,1000030080627.0,Residential,0.02,0.068,0,121,0.0
4782,1000030080593.0,Residential,0.005,0.007,0,61,0.0
4783,5000005202749997.0,Residential,0.018,0.047,0,98,0.0
4784,1000030080613.0,Residential,0.01,0.019,0,55,0.0
4785,1000030080239.0,Residential,0.022,0.057,0,70,0.0
4786,1000030080603.0,Residential,0.011,0.02,0,72,0.0
4787,1000002310392426.0,Residential,0.007,0.013,0,20,0.0
4788,1000030080608.0,Residential,0.003,0.006,0,63,0.0
4789,1000030080610.0,Residential,0.005,0.008,0,56,0.0
4790,1000030080247.0,Residential,0.044,0.125,0,42,0.0
4791,1000030080230.0,Residential,0.242,0.553,1,327,24624.0
4792,1000030080236.0,Residential,0.015,0.018,0,395,0.0
4793,1000030080606.0,Residential,0.008,0.012,0,64,0.0
4794,1000030080604.0,Residential,0.007,0.018,0,55,0.0
4795,1000030080541.0,Residential,0.006,0.012,0,198,0.0
4796,1000030080614.0,Residential,0.008,0.013,0,75,0.0
4797,1000030080553.0,Residential,0.021,0.046,0,139,0.0
4798,1000030080605.0,Residential,0.012,0.038,0,70,0.0
4799,1000030080233.0,Residential,0.003,0.005,0,113,0.0
4800,1000030080242.0,Residential,0.004,0.008,0,80,0.0
4801,1000030080542.0,Residential,0.003,0.003,0,79,0.0
4802,1000030080612.0,Residential,0.004,0.008,0,55,0.0
4803,1000030080243.0,Residential,0.004,0.008,0,89,0.0
4804,1000030080241.0,Residential,0.027,0.074,0,79,0.0
4805,1000030080607.0,Residential,0.002,0.002,0,59,0.0
4806,1000030080245.0,Residential,0.005,0.008,0,82,0.0
4807,1000030080232.0,Residential,0.005,0.008,0,72,0.0
4808,1000030080231.0,Residential,0.054,0.186,0,863,0.0
4809,1000030080240.0,Residential,0.032,0.088,0,73,0.0
4810,1000030080244.0,Residential,0.003,0.005,0,173,0.0
4811,1000030080246.0,Residential,0.004,0.007,0,52,0.0
4812,1000030080229.0,Residential,0.055,0.124,0,1032,0.0
4813,1000030080609.0,Residential,0.003,0.005,0,47,0.0
4814,1000030080611.0,Residential,0.005,0.009,0,49,0.0
4815,1000002310392425.0,Residential,0.002,0.003,0,48,0.0
4816,1000030080238.0,Residential,0.027,0.074,0,88,0.0
4817,1000030080292.0,Residential,0.037,0.029,0,91,0.0
4818,1000030080615.0,Residential,0.024,0.055,0,118,0.0
4819,1000030080432.0,Residential,0.28,0.655,1,77,27210.0
4820,1000030080325.0,Residential,0.118,0.261,0,53,0.0
4821,1000030080326.0,Residential,0.051,0.083,0,63,0.0
4822,1000030080428.0,Residential,0.347,0.808,1,88,27210.0
4823,1000030080443.0,Residential,0.728,1.282,1,68,33179.0
4824,1000030080313.0,Residential,0.004,0.007,0,51,0.0
4825,1000030080294.0,Residential,0.075,0.133,0,68,0.0
4826,1000030080322.0,Residential,0.219,0.556,1,56,24624.0
4827,1000030080286.0,Residential,0.012,0.015,0,3,0.0
4828,1000030080307.0,Residential,0.021,0.048,0,75,0.0
4829,1000030080304.0,Residential,0.032,0.082,0,69,0.0
4830,1000030080319.0,Residential,0.007,0.017,0,50,0.0
4831,1000030080439.0,Residential,0.709,1.03,1,69,30153.0
4832,1000030080618.0,Residential,0.011,0.019,0,73,0.0
4833,1000030080333.0,Residential,0.014,0.03,0,163,0.0
4834,1000030080309.0,Residential,0.197,0.525,1,68,24624.0
4835,1000030080315.0,Residential,0.003,0.004,0,39,0.0
4836,1000030080324.0,Residential,0.088,0.121,0,17,0.0
4837,1000030080433.0,Residential,0.24,0.546,1,72,24624.0
4838,1000030080431.0,Residential,0.023,0.048,0,69,0.0
4839,1000030080437.0,Residential,0.041,0.077,0,56,0.0
4840,1000030080436.0,Residential,0.021,0.047,0,77,0.0
4841,1000030080330.0,Residential,0.028,0.051,0,74,0.0
4842,1000030080446.0,Residential,0.669,0.858,1,62,27210.0
4843,1000030080301.0,Residential,0.024,0.044,0,65,0.0
4844,1000030080316.0,Residential,0.002,0.003,0,46,0.0
4845,1000030080288.0,Residential,0.004,0.008,0,19,0.0
4846,1000030080320.0,Residential,0.009,0.027,0,62,0.0
