OBJECTID,os_topo_to,os_topo_ve,bha_proces,tileref,abshmin,absh2,abshmax,relh2,relhmax,bha_conf,layer,path,UID,area,Type
1243,osgb5000005105218936,2,00:00.0,NZ2060,96.5,100,100.3,3.5,3.8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,11,Public Buildings
1313,osgb1000002310363081,2,00:00.0,NZ2060,95.9,105.3,105.8,9.4,9.9,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+15,82,Public Buildings
1388,osgb1000002310363070,1,00:00.0,NZ2060,97.1,105,106.1,7.9,9,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+15,22,Public Buildings
1704,osgb1000002310363069,1,00:00.0,NZ2060,98.8,106.9,107,8.1,8.2,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+15,5,Public Buildings
1888,osgb5000005105218934,1,00:00.0,NZ2060,95.8,100.5,100.6,4.7,4.8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,4,Public Buildings
2707,osgb5000005105218941,2,00:00.0,NZ2060,96.1,100.2,100.6,4.1,4.5,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,36,Public Buildings
3611,osgb5000005105218933,1,00:00.0,NZ2060,96.9,99.3,100.8,2.4,3.9,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,35,Public Buildings
3665,osgb5000005105218939,1,00:00.0,NZ2060,95.9,111.1,112.2,15.2,16.3,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,17,Public Buildings
3710,osgb5000005105200066,1,00:00.0,NZ2060,96,100.4,100.6,4.4,4.6,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,12,Public Buildings
4072,osgb5000005105218935,1,00:00.0,NZ2060,96,99.5,100.8,3.5,4.8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,64,Public Buildings
4217,osgb5000005105200069,1,00:00.0,NZ2060,96.9,98,99.8,1.1,2.9,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,24,Public Buildings
4678,osgb5000005105218937,1,00:00.0,NZ2060,96,109.8,113.2,13.8,17.2,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,69,Public Buildings
5332,osgb5000005105218940,2,00:00.0,NZ2060,95.7,103.5,115.8,7.8,20.1,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,3671,Public Buildings
5588,osgb1000002310332642,2,00:00.0,NZ2060,97,103,104,6,7,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+15,101,Public Buildings
5932,osgb5000005105200068,1,00:00.0,NZ2060,96.9,99.2,98.3,2.3,1.4,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,12,Public Buildings
6246,osgb5000005105200065,1,00:00.0,NZ2060,96.9,99.1,99.6,2.2,2.7,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,22,Public Buildings
6402,osgb5000005207584860,1,00:00.0,NZ2065,95.4,98.1,98.7,2.7,3.3,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,5.00E+15,27,Public Buildings
6542,osgb1000002310363134,1,00:00.0,NZ2065,95.8,104.9,105.3,9.1,9.5,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+15,6,Public Buildings
6649,osgb1000002310363133,1,00:00.0,NZ2065,95.9,105.6,107.2,9.7,11.3,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+15,7,Public Buildings
6684,osgb1000030011212,2,00:00.0,NZ2065,95.9,109.5,110.5,13.6,14.6,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,6,Public Buildings
7817,osgb5000005207582388,1,00:00.0,NZ2065,95.5,98.6,99.3,3.1,3.8,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,5.00E+15,10,Public Buildings
8264,osgb1000030011208,3,00:00.0,NZ2065,95.3,98.4,99.1,3.1,3.8,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,25,Public Buildings
8327,osgb1000030011211,10,00:00.0,NZ2065,94.9,96.7,109.8,1.8,14.9,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,2396,Public Buildings
9514,osgb1000002310273097,3,00:00.0,NZ2065,96,111.8,113.3,15.8,17.3,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+15,11,Public Buildings
9750,osgb1000002310332665,2,00:00.0,NZ2065,95.5,99.2,100.6,3.7,5.1,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+15,96,Public Buildings
1044,osgb1000030006297,3,00:00.0,NZ2060,107.8,112.1,112.5,4.3,4.7,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,2,Offices
1144,osgb1000030005699,2,00:00.0,NZ2060,105.9,110,110.4,4.1,4.5,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,3,Offices
1521,osgb1000030005905,10,00:00.0,NZ2060,101.2,103.3,127.3,2.1,26.1,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,22453,Offices
1587,osgb1000030005702,4,00:00.0,NZ2060,100.1,104,105.3,3.9,5.2,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,92,Offices
1614,osgb5000005207585095,1,00:00.0,NZ2060,106.4,112,112.5,5.6,6.1,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,68,Offices
1679,osgb5000005207583650,1,00:00.0,NZ2060,106.8,108.1,109.4,1.3,2.6,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,9,Offices
1709,osgb5000005207585023,1,00:00.0,NZ2060,106.9,110.4,110.7,3.5,3.8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,13,Offices
1725,osgb5000005207584950,1,00:00.0,NZ2060,105.5,108.5,109.2,3,3.7,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,25,Offices
1829,osgb5000005207582334,1,00:00.0,NZ2060,105.8,109.5,109.7,3.7,3.9,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,10,Offices
2228,osgb1000030006112,4,00:00.0,NZ2060,108.1,113.7,114,5.6,5.9,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,101,Offices
2233,osgb1000030005499,4,00:00.0,NZ2060,100,102.9,105.5,2.9,5.5,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,123,Offices
2343,osgb5000005207582713,1,00:00.0,NZ2060,105.8,109.4,109.6,3.6,3.8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,40,Offices
2403,osgb1000030005700,2,00:00.0,NZ2060,106,124.3,127,18.3,21,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,1,Offices
2517,osgb5000005207583367,1,00:00.0,NZ2060,102.1,111.5,112.3,9.4,10.2,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,4,Offices
2565,osgb5000005207582814,1,00:00.0,NZ2060,106.1,109.3,109.4,3.2,3.3,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,14,Offices
2625,osgb5000005239319432,1,00:00.0,NZ2060,106.4,107.7,108.7,1.3,2.3,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,21,Offices
2926,osgb5000005207582527,1,00:00.0,NZ2060,106.2,109.7,111.5,3.5,5.3,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,108,Offices
3405,osgb5000005207582637,1,00:00.0,NZ2060,106.9,110.3,111.1,3.4,4.2,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,236,Offices
3558,osgb5000005207582277,1,00:00.0,NZ2060,107.2,113.9,115.2,6.7,8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,11,Offices
3787,osgb5000005239319449,1,00:00.0,NZ2060,105.4,107.3,108.8,1.9,3.4,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,10,Offices
3879,osgb1000030005496,2,00:00.0,NZ2060,105.1,108.3,108.6,3.2,3.5,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,56,Offices
4008,osgb1000030005501,4,00:00.0,NZ2060,100.4,109.8,111.1,9.4,10.7,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,30,Offices
4144,osgb5000005207584899,1,00:00.0,NZ2060,106.9,111.4,113.7,4.5,6.8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,89,Offices
4220,osgb5000005207584930,1,00:00.0,NZ2060,107.2,109.5,111.3,2.3,4.1,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,23,Offices
4569,osgb1000030006294,3,00:00.0,NZ2060,107.3,114.1,116.5,6.8,9.2,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,12,Offices
4687,osgb1000030005698,3,00:00.0,NZ2060,102.7,109.2,109.4,6.5,6.7,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,48,Offices
4749,osgb1000030005493,3,00:00.0,NZ2060,100.9,106.2,111.1,5.3,10.2,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,78,Offices
4762,osgb1000030005497,3,00:00.0,NZ2060,102.6,114.9,118.4,12.3,15.8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,1097,Offices
4766,osgb1000030006300,2,00:00.0,NZ2060,102.3,107.4,108.5,5.1,6.2,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,25,Offices
4772,osgb1000030005500,3,00:00.0,NZ2060,99.8,107.2,108.8,7.4,9,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,80,Offices
4973,osgb5000005116523779,1,00:00.0,NZ2060,107.5,112.5,114.7,5,7.2,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,183,Offices
5117,osgb5000005207585488,1,00:00.0,NZ2060,106.6,109.9,110.5,3.3,3.9,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,11,Offices
5184,osgb5000005207582526,1,00:00.0,NZ2060,107.4,110.8,112.3,3.4,4.9,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,9,Offices
5335,osgb1000030005904,2,00:00.0,NZ2060,106.8,107.3,110.6,0.5,3.8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,70,Offices
5711,osgb5000005207584935,1,00:00.0,NZ2060,104.9,108.5,110.1,3.6,5.2,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,7,Offices
5777,osgb1000030005701,2,00:00.0,NZ2060,104.3,105.4,107.5,1.1,3.2,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,14,Offices
5841,osgb5000005207583123,1,00:00.0,NZ2060,105.1,108.8,109.3,3.7,4.2,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,32,Offices
5878,osgb5000005207584912,1,00:00.0,NZ2060,107.6,113.8,115.1,6.2,7.5,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,137,Offices
5880,osgb1000030006299,4,00:00.0,NZ2060,101.3,108.5,109.3,7.2,8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,87,Offices
5937,osgb1000030005498,3,00:00.0,NZ2060,100.5,103.3,106.2,2.8,5.7,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,128,Offices
6257,osgb1000030006301,2,00:00.0,NZ2060,102.9,106.5,107.7,3.6,4.8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,19,Offices
935,osgb1000030082161,5,00:00.0,NZ2565,51.7,66.7,72.3,15,20.6,99,buildings_nz2565,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197344/nz/nz2565.gdb|layername=buildings_nz2565,1.00E+12,3315,Public Buildings
972,osgb1000030130368,5,00:00.0,NZ2565,52,63.8,67.5,11.8,15.5,99,buildings_nz2565,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197344/nz/nz2565.gdb|layername=buildings_nz2565,1.00E+12,211,Public Buildings
984,osgb5000005205280857,1,00:00.0,NZ2565,51.9,54.9,55.1,3,3.2,99,buildings_nz2565,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197344/nz/nz2565.gdb|layername=buildings_nz2565,5.00E+15,27,Public Buildings
996,osgb1000030082160,4,00:00.0,NZ2565,51.9,67.1,68.3,15.2,16.4,99,buildings_nz2565,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197344/nz/nz2565.gdb|layername=buildings_nz2565,1.00E+12,12,Public Buildings
1065,osgb1000030080449,3,00:00.0,NZ2060,50.5,56.9,57.5,6.4,7,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,14,Public Buildings
1069,osgb5000005107866518,1,00:00.0,NZ2060,49.7,70,72.4,20.3,22.7,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,80,Public Buildings
1169,osgb1000030080356,2,00:00.0,NZ2060,49.1,60.3,61.9,11.2,12.8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,22,Public Buildings
1201,osgb5000005226258873,1,00:00.0,NZ2060,48.7,60.8,61,12.1,12.3,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,14,Public Buildings
1207,osgb1000030080513,2,00:00.0,NZ2060,54.2,57.7,60,3.5,5.8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,5,Public Buildings
1363,osgb1000030080516,5,00:00.0,NZ2060,55.1,74.9,75.4,19.8,20.3,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,108,Public Buildings
1576,osgb5000005107866442,1,00:00.0,NZ2060,50.9,59.4,72.7,8.5,21.8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,16,Public Buildings
1597,osgb1000030080524,8,00:00.0,NZ2060,50.6,66.5,69,15.9,18.4,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,937,Public Buildings
1608,osgb1000030080458,2,00:00.0,NZ2060,49.2,51.6,53.1,2.4,3.9,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,18,Public Buildings
1645,osgb1000030080450,2,00:00.0,NZ2060,50.9,57.1,57.6,6.2,6.7,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,85,Public Buildings
1653,osgb5000005107866516,1,00:00.0,NZ2060,51.4,72.5,73,21.1,21.6,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,176,Public Buildings
1792,osgb5000005205280041,1,00:00.0,NZ2060,47.5,48.8,49.4,1.3,1.9,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,7,Public Buildings
1925,osgb1000030080537,2,00:00.0,NZ2060,51.9,61.9,61.9,10,10,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,1,Public Buildings
1987,osgb1000030080348,4,00:00.0,NZ2060,47.7,59.6,63.3,11.9,15.6,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,150,Public Buildings
1989,osgb5000005226258878,1,00:00.0,NZ2060,50.5,52.6,57.3,2.1,6.8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,12,Public Buildings
1995,osgb1000030080457,2,00:00.0,NZ2060,49.4,52,52.5,2.6,3.1,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,15,Public Buildings
2022,osgb5000005107866520,1,00:00.0,NZ2060,51.8,55.1,68.4,3.3,16.6,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,5,Public Buildings
2036,osgb1000030080350,2,00:00.0,NZ2060,47.8,54,55,6.2,7.2,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+12,3,Public Buildings
