OBJECTID,os_topo_to,os_topo_ve,bha_proces,tileref,abshmin,absh2,abshmax,relh2,relhmax,bha_conf,layer,path,UID,area,Type
7057,osgb1000030012626,3,00:00.0,NZ2065,107.9,113.9,117.5,6,9.6,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,150,Residential
7058,osgb1000030010259,3,00:00.0,NZ2065,102.2,108.1,111.5,5.9,9.3,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,92,Residential
7059,osgb1000030010367,2,00:00.0,NZ2065,105.5,108.4,108.5,2.9,3,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,6,Residential
7060,osgb1000030010477,2,00:00.0,NZ2065,106.4,113,116.6,6.6,10.2,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,94,Residential
7061,osgb1000030010598,2,00:00.0,NZ2065,101.1,106.7,112.2,5.6,11.1,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,98,Residential
7062,osgb1000030010646,2,00:00.0,NZ2065,100.7,104.6,108.1,3.9,7.4,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,2,Residential
7063,osgb1000030011332,2,00:00.0,NZ2065,107.7,113.2,116.4,5.5,8.7,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,70,Residential
7066,osgb1000038612366,2,00:00.0,NZ2065,116.3,122.5,124.7,6.2,8.4,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,42,Residential
7067,osgb5000005202734326,1,00:00.0,NZ2065,103.8,105.8,106.9,2,3.1,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,5.00E+15,13,Residential
7068,osgb1000030010737,3,00:00.0,NZ2065,103.5,109.6,113.7,6.1,10.2,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,89,Residential
