ID	Cost
0	4448.784476685037
1	4448.784476685037
2	4448.784476685037
3	4448.784476685037
4	4448.784476685037
5	4448.784476685037
6	4448.784476685037
7	4448.784476685037
8	4448.784476685037
9	4448.784476685037
10	4448.784476685037
11	4448.784476685037
12	4448.784476685037
13	4448.784476685037
14	4448.784476685037
15	4448.784476685037
16	4448.784476685037
17	4448.784476685037
18	4448.784476685037
19	4448.784476685037
20	4448.784476685037
21	4448.784476685037
22	4448.784476685037
23	4448.784476685037
24	4448.784476685037
25	4448.784476685037
26	4448.784476685037
27	4448.784476685037
28	4448.784476685037
29	4448.784476685037
30	4448.784476685037
31	4448.784476685037
32	4448.784476685037
33	4448.784476685037
34	4448.784476685037
35	4448.784476685037
36	4448.784476685037
37	4448.784476685037
38	4448.784476685037
39	4448.784476685037
40	4448.784476685037
41	4448.784476685037
42	4448.784476685037
43	4448.784476685037
44	4448.784476685037
45	4448.784476685037
46	4448.784476685037
47	4448.784476685037
48	4448.784476685037
49	4448.784476685037
50	4448.784476685037
51	4448.784476685037
52	4448.784476685037
53	4448.784476685037
54	4448.784476685037
55	4448.784476685037
56	4448.784476685037
57	4448.784476685037
58	4448.784476685037
59	4448.784476685037
60	4448.784476685037
61	4448.784476685037
62	4448.784476685037
63	4448.784476685037
64	4448.784476685037
65	4448.784476685037
66	4448.784476685037
67	4448.784476685037
68	4448.784476685037
69	4448.784476685037
70	4448.784476685037
71	4448.784476685037
72	4448.784476685037
73	4448.784476685037
74	4448.784476685037
75	4448.784476685037
76	4448.784476685037
77	4448.784476685037
78	4448.784476685037
79	4448.784476685037
80	4448.784476685037
81	4448.784476685037
82	4448.784476685037
83	4448.784476685037
84	4448.784476685037
85	4448.784476685037
86	4448.784476685037
87	4448.784476685037
88	4448.784476685037
89	4448.784476685037
90	4448.784476685037
91	4448.784476685037
92	4448.784476685037
93	4448.784476685037
94	4448.784476685037
95	4448.784476685037
96	4448.784476685037
97	4448.784476685037
98	4448.784476685037
99	4448.784476685037
100	4448.784476685037
101	4448.784476685037
102	4448.784476685037
103	4448.784476685037
104	4448.784476685037
105	4448.784476685037
106	4448.784476685037
107	4448.784476685037
108	4448.784476685037
109	4448.784476685037
110	4448.784476685037
111	4448.784476685037
112	4448.784476685037
113	4448.784476685037
114	4448.784476685037
115	4448.784476685037
116	4448.784476685037
117	4448.784476685037
118	4448.784476685037
119	4448.784476685037
120	4448.784476685037
121	4448.784476685037
122	4448.784476685037
123	4448.784476685037
124	4448.784476685037
125	4448.784476685037
126	4448.784476685037
127	4448.784476685037
128	4448.784476685037
129	4448.784476685037
130	4448.784476685037
